Name,Survey,Stellar Mass (10^8),Stellar Mass Error (10^8),Peak Halo Mass (10^10),Peak Halo Mass Error (10^10),N_GC,N_GC_err,GCS Mass (10^6),GCS Mass Error (10^6),Class
UGC8882,ELVES,0.562,0.141,4,0.5,3.1,1.6,0.765,0.429,Classical
M101-DF1,ELVES,0.018,0.005,0.78,0.096,1.6,0,0.337,0.074,Classical
"dw1234p2531	",ELVES,0.447,0.112,3.58,0.448,10,3.3,2.441,0.973,Classical
dw1240p3216,ELVES,0.018,0.004,0.77,0.095,1.6,0,0.337,0.074,Classical
KDG101,ELVES,0.537,0.134,3.91,0.489,6.3,3.1,1.551,0.835,Classical
dw0932p2127,ELVES,0.741,0.185,4.56,0.571,3.3,1.7,0.825,0.462,Classical
dw1906m6357,ELVES,0.288,0.072,2.9,0.363,10.5,3.5,2.512,1.002,Classical
dw1312p4147,ELVES,1.259,0.315,5.88,0.737,9.7,4.8,2.484,1.344,Classical
UGC05428,ELVES,0.324,0.081,3.07,0.384,4.7,3.1,1.13,0.786,Classical
dw1122p1326,ELVES,2.951,0.738,8.89,1.109,16.2,3.2,4.314,1.272,Classical
dw1119p1419,ELVES,0.389,0.097,3.35,0.419,11.9,4.4,2.886,1.24,Classical
dw1119p1404,ELVES,0.479,0.12,3.7,0.463,14.4,1.7,3.526,0.877,Classical
dw1050p1316,ELVES,2.399,0.6,8.03,1.004,15.5,5,4.088,1.594,Classical
dw1048p1408,ELVES,1.995,0.499,7.35,0.919,6.8,3.4,1.778,0.971,Classical
dw1051p1250,ELVES,0.724,0.181,4.51,0.565,4.9,3.3,1.223,0.866,Classical
dw1046p1401,ELVES,0.324,0.081,3.07,0.384,5.1,3.4,1.227,0.861,Classical
dw1055p1220,ELVES,0.24,0.06,2.66,0.332,7.8,3.9,1.85,1.01,Classical
dw1047p1248,ELVES,0.028,0.007,0.96,0.119,4.8,3.2,1.032,0.724,Classical
dw1049p1233,ELVES,0.04,0.01,1.13,0.14,3.2,1.7,0.699,0.402,Classical
dw1005m0744,ELVES,1.047,0.262,5.38,0.674,6.6,4.9,1.676,1.297,Classical
dw1000m0821,ELVES,0.813,0.203,4.77,0.597,4.9,3.3,1.23,0.871,Classical
dw1006m0730-n2,ELVES,0.026,0.006,0.92,0.114,4.9,1.6,1.049,0.412,Classical
MATLAS-49 ,MATLAS,1.597,0.015,6.39,0.031,21.7,6.8,5.627,2.157,UDG
MATLAS-138 ,MATLAS,1.514,0.014,6.233,0.03,15.5,4.8,3.997,1.511,UDG
MATLAS-262 ,MATLAS,0.15,0.007,2.1,0.05,3.3,3.2,0.761,0.77,UDG
MATLAS-365 ,MATLAS,0.067,0.001,1.442,0.013,8,3.6,1.796,0.9,UDG
MATLAS-401 ,MATLAS,0.532,0.002,3.814,0.007,13.2,4.4,3.236,1.296,UDG
MATLAS-405 ,MATLAS,0.326,0.006,3.03,0.029,9,4.5,2.158,1.173,UDG
MATLAS-585 ,MATLAS,0.195,0.002,2.376,0.011,10.5,4.1,2.467,1.108,UDG
MATLAS-658 ,MATLAS,0.248,0.005,2.663,0.025,4.9,3.1,1.159,0.781,UDG
MATLAS-799 ,MATLAS,1.686,0.016,6.555,0.031,16.4,5.4,4.261,1.694,UDG
MATLAS-984 ,MATLAS,0.213,0.004,2.482,0.023,6.2,3.3,1.465,0.849,UDG
MATLAS-1154 ,MATLAS,0.425,0.004,3.432,0.016,3.6,2.9,0.884,0.739,UDG
MATLAS-1321 ,MATLAS,1.126,0.01,5.423,0.026,9.4,3.9,2.394,1.123,UDG
MATLAS-1332 ,MATLAS,3.03,0.028,8.636,0.042,28.7,6.3,7.662,2.372,UDG
MATLAS-1412 ,MATLAS,0.133,0,1.986,0.003,3.8,2.7,0.88,0.655,UDG
MATLAS-1413 ,MATLAS,1.356,0.025,5.919,0.057,32.2,7.6,8.27,2.673,UDG
MATLAS-1470 ,MATLAS,0.89,0.017,4.856,0.046,6.2,3,1.565,0.839,UDG
MATLAS-1485 ,MATLAS,0.917,0.008,4.924,0.023,6.9,4,1.749,1.077,UDG
MATLAS-1534 ,MATLAS,0.144,0.003,2.063,0.019,13.8,4.6,3.188,1.274,UDG
MATLAS-1589 ,MATLAS,0.135,0.001,2.002,0.009,6,3.5,1.388,0.86,UDG
MATLAS-1616 ,MATLAS,0.696,0.013,4.326,0.041,11.2,4.6,2.803,1.3,UDG
MATLAS-1779 ,MATLAS,0.453,0.008,3.536,0.034,11.4,5.4,2.782,1.455,UDG
MATLAS-1865 ,MATLAS,0.131,0.001,1.971,0.009,7.7,3.5,1.772,0.898,UDG
MATLAS-1985 ,MATLAS,4.059,0.015,9.907,0.019,28.5,5.7,7.701,2.286,UDG
MATLAS-2019 ,MATLAS,1.165,0.011,5.511,0.026,37.6,6.8,9.605,2.728,UDG
MATLAS-2176 ,MATLAS,0.537,0.005,3.829,0.018,9,3.5,2.228,0.999,UDG
MATLAS-2184 ,MATLAS,0.045,0.002,1.19,0.028,6.8,3.4,1.486,0.812,UDG
DF44,Gannon,3,0.75,8.96,1.117,74,18,19.72,6.454,UDG
DF07,Gannon,4.35,1.088,10.74,1.336,23,7,6.235,2.338,UDG
DF17,Gannon,2.63,0.658,8.4,1.049,27,4,7.151,1.891,UDG
DFX1,Gannon,3.4,0.85,9.52,1.187,62,17,16.617,5.831,UDG
DGSAT-I,Gannon,4,1,10.31,1.283,12,2,3.24,0.892,UDG
Hydra-I UDG 11,Gannon,0.63,0.158,4.22,0.528,7,3,1.736,0.835,UDG
NGC 1052-DF2,Gannon,2,0.5,7.36,0.92,7.1,4.3,1.857,1.206,UDG
NGC 5846_UDG1,Gannon,1.1,0.275,5.51,0.69,54,9,13.74,3.781,UDG
NGVSUDG-19,Gannon,0.62,0.14,4.19,0.474,16.8,7.5,4.163,2.07,UDG
NGVSUDG-20,Gannon,0.13,0.06,1.98,0.457,11.3,8.6,2.606,2.064,UDG
Sag_dSph,Gannon,1.32,0.33,6.02,0.753,8,0,2.053,0.45,UDG
VCC 1017,Gannon,3.35,0.6,9.45,0.844,16.5,11.2,4.419,3.152,UDG
VCC 1052,Gannon,2.08,0.38,7.5,0.685,17.9,11.5,4.69,3.183,UDG
VCC 1287,Gannon,3.94,0.79,10.23,1.021,22,8,5.937,2.52,UDG
VCC 615,Gannon,0.73,0.11,4.53,0.342,30.3,9.6,7.565,2.914,UDG
VCC 811,Gannon,0.73,0.11,4.53,0.342,15.8,8.4,3.945,2.268,UDG
VLSB-B,Gannon,0.22,0.06,2.55,0.348,26.1,9.9,6.167,2.701,UDG
VLSB-D,Gannon,0.58,0.12,4.06,0.42,13,6.9,3.212,1.844,UDG
WLM,Gannon,0.41,0.102,3.43,0.43,1,0,0.243,0.053,UDG
Y358,Gannon,1.38,0.345,6.15,0.77,28,5.3,7.199,2.084,UDG
D634-03,Georgiev,0.035,0.009,1.06,0.132,1,0.3,0.217,0.081,Classical
ESO269-66,Georgiev,0.301,0.075,2.96,0.371,4,1.2,0.959,0.356,Classical
ESO349-031,Georgiev,0.03,0.008,0.99,0.123,1,0.3,0.216,0.08,Classical
IKN,Georgiev,0.024,0.006,0.89,0.11,5,1.5,1.067,0.396,Classical
KK197,Georgiev,0.096,0.024,1.72,0.214,3,0.9,0.682,0.253,Classical
KK27,Georgiev,0.007,0.002,0.49,0.061,2,0.6,0.403,0.15,Classical
KKS55,Georgiev,0.017,0.004,0.75,0.093,1,0.3,0.21,0.078,Classical
UGC3974,Georgiev,0.793,0.198,4.71,0.59,4,1.2,1.003,0.372,Classical
UGC7369,Georgiev,1.72,0.43,6.84,0.856,22,6.6,5.714,2.122,Classical
UGC8638,Georgiev,0.163,0.041,2.21,0.276,3,0.9,0.699,0.26,Classical
LMC,Georgiev,16.27,4.068,20.83,2.516,16,4.8,4.609,1.712,Classical
DDO52,Georgiev,0.638,0.16,4.24,0.531,2,0.6,0.496,0.184,Classical
ESO059-01,Georgiev,0.508,0.127,3.81,0.476,1,0.3,0.246,0.091,Classical
ESO121-20,Georgiev,0.098,0.024,1.73,0.216,1,0.3,0.228,0.085,Classical
ESO137-18,Georgiev,6.8,1.7,13.39,1.655,7,2.1,1.937,0.719,Classical
ESO154-023,Georgiev,1.99,0.498,7.34,0.918,3,0.9,0.784,0.291,Classical
ESO223-09,Georgiev,2.26,0.565,7.81,0.975,8,2.4,2.104,0.782,Classical
ESO269-58,Georgiev,3.01,0.752,8.97,1.119,8,2.4,2.132,0.792,Classical
ESO274-01,Georgiev,15.11,3.778,20.05,2.428,10,3,2.871,1.066,Classical
ESO381-20,Georgiev,0.54,0.135,3.92,0.491,1,0.3,0.246,0.091,Classical
ESO384-016,Georgiev,0.18,0.045,2.32,0.29,2,0.6,0.468,0.174,Classical
IC1959,Georgiev,1.41,0.352,6.21,0.778,7,2.1,1.802,0.669,Classical
KK16,Georgiev,0.052,0.013,1.28,0.16,1,0.3,0.221,0.082,Classical
KK17,Georgiev,0.01,0.002,0.58,0.072,1,0.3,0.205,0.076,Classical
KK246,Georgiev,0.097,0.024,1.73,0.215,2,0.6,0.455,0.169,Classical
KKH77,Georgiev,0.398,0.1,3.39,0.424,4.6,1.4,1.117,0.415,Classical
NGC1311,Georgiev,1.17,0.292,5.68,0.711,5,1.5,1.276,0.474,Classical
NGC247,Georgiev,23.25,5.812,25.13,2.986,25,7.5,7.321,2.719,Classical
NGC4163,Georgiev,0.192,0.048,2.39,0.299,2,0.6,0.47,0.174,Classical
NGC4605,Georgiev,17.29,4.322,21.5,2.59,22,6.6,6.355,2.36,Classical
NGC5237,Georgiev,1.55,0.388,6.5,0.814,3,0.9,0.775,0.288,Classical
NGC784,Georgiev,8.46,2.115,14.93,1.838,6,1.8,1.677,0.623,Classical
UGC1281,Georgiev,1.26,0.315,5.89,0.737,2,0.6,0.512,0.19,Classical
UGC3755,Georgiev,0.928,0.232,5.08,0.636,9,2.7,2.272,0.844,Classical
UGC4115,Georgiev,0.852,0.213,4.88,0.611,5,1.5,1.257,0.467,Classical
UGC685,Georgiev,0.322,0.08,3.06,0.383,5,1.5,1.202,0.447,Classical
UGC8760,Georgiev,0.108,0.027,1.82,0.227,1,0.3,0.229,0.085,Classical
UGCA86,Georgiev,1.65,0.412,6.7,0.839,11,3.3,2.852,1.059,Classical
UGCA92,Georgiev,0.448,0.112,3.58,0.449,2,0.6,0.488,0.181,Classical
NGC1427A,Georgiev,19.94,4.985,23.16,2.774,38,11.4,11.049,4.104,Classical
VCC 1030,ACS Virgo,133.2,90.5,73.25,18.756,345,80,109.487,34.92,Classical
VCC 355,ACS Virgo,157.8,36.2,83.67,6.87,100,31,31.984,12.139,Classical
VCC 1619,ACS Virgo,172.4,31.2,90.03,5.655,84,19,26.976,8.493,Classical
VCC 1883,ACS Virgo,166.6,39.2,87.48,7.233,83,25,26.613,9.911,Classical
VCC 1242,ACS Virgo,152.7,31.7,81.48,6.12,116,24,37.045,11.161,Classical
VCC 784,ACS Virgo,167.9,31.4,88.05,5.77,50,14,16.038,5.701,Classical
VCC 1537,ACS Virgo,102.4,23.5,60.56,5.584,31.4,7.2,9.845,3.122,Classical
VCC 778,ACS Virgo,181.8,41.9,94.23,7.388,74,32,23.823,11.548,Classical
VCC 1321,ACS Virgo,69.8,17.5,47.08,5.076,31,9,9.549,3.473,Classical
VCC 828,ACS Virgo,136.9,30,74.8,6.13,69.5,9.8,22.084,5.752,Classical
VCC 1250,ACS Virgo,36.8,20.4,32.28,8.253,20.1,7.3,6.012,2.55,Classical
VCC 1630,ACS Virgo,116.1,23.9,66.18,5.321,47,11,14.822,4.751,Classical
VCC 1146,ACS Virgo,86.9,21.7,54.2,5.616,72,12,22.404,6.166,Classical
VCC 1303,ACS Virgo,103.9,23.3,61.17,5.495,72,18,22.589,7.508,Classical
VCC 1913,ACS Virgo,107.4,27.2,62.61,6.305,71,14,22.31,6.574,Classical
VCC 1125,ACS Virgo,80.6,34,51.6,9.15,52.3,8.5,16.218,4.423,Classical
VCC 1475,ACS Virgo,77.3,15,50.23,4.126,81,10,25.069,6.302,Classical
VCC 1178,ACS Virgo,70.9,14.2,47.55,4.085,25.3,9.2,7.799,3.311,Classical
VCC 1283,ACS Virgo,90.8,17.9,55.81,4.528,58.6,9.3,18.272,4.942,Classical
VCC 1261,ACS Virgo,48.7,16.9,37.89,5.91,35.1,7.6,10.635,3.275,Classical
VCC 698,ACS Virgo,95.2,25.6,57.61,6.318,114,12,35.623,8.655,Classical
VCC 1422,ACS Virgo,38.2,13.5,32.97,5.357,24.9,6,7.46,2.429,Classical
VCC 2048,ACS Virgo,29.4,10.8,28.51,4.911,17.2,5.4,5.092,1.949,Classical
VCC 1871,ACS Virgo,22.6,5.8,24.75,3.024,10.4,5,3.042,1.607,Classical
VCC 9,ACS Virgo,30.8,6.1,29.25,2.707,25.7,6.4,7.624,2.528,Classical
VCC 575,ACS Virgo,50,17.5,38.48,6.037,18,6.1,5.46,2.203,Classical
VCC 1910,ACS Virgo,21,8.1,23.8,4.387,48.7,8.4,14.194,3.957,Classical
VCC 1049,ACS Virgo,5.2,4,11.73,4.477,8.4,4.5,2.296,1.329,Classical
VCC 856,ACS Virgo,22.2,8.5,24.52,4.473,43.4,7.9,12.682,3.611,Classical
VCC 140,ACS Virgo,23.3,7.1,25.15,3.643,21.3,6.1,6.238,2.249,Classical
VCC 1355,ACS Virgo,18.2,3.5,22.08,2.042,10.8,5.6,3.127,1.76,Classical
VCC 1087,ACS Virgo,32.9,10.7,30.33,4.589,66,9.5,19.639,5.147,Classical
VCC 1861,ACS Virgo,28.8,10,28.2,4.596,37.6,7.4,11.12,3.274,Classical
VCC 543,ACS Virgo,21.9,6.5,24.34,3.445,18.1,5.5,5.286,1.98,Classical
VCC 1431,ACS Virgo,22,7.4,24.4,3.912,60.6,9.3,17.701,4.733,Classical
VCC 1528,ACS Virgo,16.3,4.8,20.85,2.966,40.7,7.6,11.725,3.374,Classical
VCC 1695,ACS Virgo,16.9,7.8,21.24,4.73,14.4,5.7,4.155,1.88,Classical
VCC 1833,ACS Virgo,8.6,4.8,15.06,4.136,18.1,5.5,5.063,1.896,Classical
VCC 437,ACS Virgo,28,12.5,27.77,5.829,42.1,7.9,12.434,3.586,Classical
VCC 2019,ACS Virgo,10.2,7.2,16.41,5.677,23.9,6.1,6.738,2.266,Classical
VCC 200,ACS Virgo,13.4,4.9,18.85,3.352,15.5,5.8,4.425,1.919,Classical
VCC 571,ACS Virgo,9.8,6.5,16.08,5.233,10.9,5.6,3.067,1.713,Classical
VCC 21,ACS Virgo,5.6,3.7,12.16,3.985,20.7,6.5,5.677,2.173,Classical
VCC 1488,ACS Virgo,4.1,3.8,10.43,4.813,7.3,4.2,1.973,1.215,Classical
VCC 1895,ACS Virgo,7.6,3.9,14.15,3.583,6.3,4.3,1.752,1.256,Classical
VCC 1499,ACS Virgo,1.4,1.9,6.19,4.207,19,6.6,4.888,2.007,Classical
VCC 1545,ACS Virgo,14.1,4.2,19.35,2.798,54.2,8.8,15.51,4.228,Classical
VCC 1857,ACS Virgo,7.3,1.4,13.87,1.314,10.8,5.9,2.998,1.765,Classical
VCC 1075,ACS Virgo,11.1,4.7,17.12,3.546,16.5,5.2,4.67,1.792,Classical
VCC 1440,ACS Virgo,11.9,4.4,17.74,3.202,26.7,6.8,7.581,2.546,Classical
VCC 230,ACS Virgo,6.9,2.9,13.49,2.802,28.7,6.7,7.947,2.544,Classical
VCC 2050,ACS Virgo,2.9,2.6,8.81,3.942,9.2,4.3,2.448,1.263,Classical
VCC 751,ACS Virgo,14.1,5.1,19.35,3.398,9.2,4.3,2.633,1.359,Classical
VCC 1828,ACS Virgo,12.6,4.7,18.26,3.32,20.4,5.8,5.808,2.084,Classical
VCC 1407,ACS Virgo,12.4,4.2,18.11,2.992,49.7,8.6,14.139,3.946,Classical
VCC 1886,ACS Virgo,5.1,1,11.61,1.131,3.9,2.6,1.065,0.747,Classical
VCC 1743,ACS Virgo,4,2.9,10.31,3.72,9.8,6.4,2.646,1.823,Classical
VCC 1539,ACS Virgo,5.2,1.1,11.73,1.231,31,7,8.473,2.665,Classical
VCC 1185,ACS Virgo,8.9,5.1,15.32,4.316,14,5.7,3.922,1.813,Classical
VCC 1826,ACS Virgo,6.1,2.2,12.69,2.266,4.5,3.9,1.239,1.108,Classical
VCC 1512,ACS Virgo,6.1,1.2,12.69,1.236,4.7,3.8,1.294,1.084,Classical
VCC 1489,ACS Virgo,3.2,0.6,9.24,0.864,11.7,4.8,3.127,1.454,Classical
